listing_id,branch_id,agent_address,agent_postcode,short_description,description,property_id,property_type,address,price_min,price_max,latitude,longitude,lad20cd,lad20nm
45557963,"[""56666""]","[""247 Croydon Road, Beckenham""]","[""BR3 3PS""]","  Available mid December we are delighted to offer this neutrally decorated 3 bedroom terraced house, with a large garden to the rear and off street parking for up to 3 cars. The house is within easy reach of good local schools including nearby Pickhurst Academy Primary school, Langley Park Boys and Girls Senior schools and Hayes Senior school. Shopping centres are available at West Wickham, Hayes, Beckenham or for larger facilities Bromley offers the Intu Bromley shopping mall and popular Churchill theatre. Train stations can be found at Hayes, West Wickham or Bromley South and there are bus routes close by to many destinations and easy access to the M25 motorway. Recreational time can be spent at Pickhurst Recreation Ground, Norman Park, South Hill Woods, Hayes Common or there is a swimming pool and gym at West Wickham.  ","Available mid December we are delighted to offer this neutrally decorated 3 bedroom terraced house, with a large garden to the rear and off street parking for up to 3 cars. The house is within easy reach of good local schools including nearby Pickhurst Academy Primary school, Langley Park Boys and Girls Senior schools and Hayes Senior school. Shopping centres are available at West Wickham, Hayes, Beckenham or for larger facilities Bromley offers the Intu Bromley shopping mall and popular Churchill theatre. Train stations can be found at Hayes, West Wickham or Bromley South and there are bus routes close by to many destinations and easy access to the M25 motorway. Recreational time can be spent at Pickhurst Recreation Ground, Norman Park, South Hill Woods, Hayes Common or there is a swimming pool and gym at West Wickham.KitchenModern fitted kitchen with laminate flooring throughout. Wall and base units with extensive cupboard space. Washing machine, dishwasher, and hob and oven with overhead extractor. Double glazed door to garden.Living roomThrough lounge. Neutrally decorated with fitted carpet and fire place. Double glazed windows to front and double glazed doors to garden.First floorBedroom 1Double bedroom with fitted cupboards and airing cupboard. Neutrally decorated with fitted carpet. Radiator and double glazed window overlooking the garden.Bedroom 2Double bedroom with double glazed bay window to front of property overlooking beautiful views. Fitted cupboards, carpet and radiator.Bedroom 3Double glazed window to front. Fitted cupboards, carpet and radiator.BathroomTiled bathroom with tiled floor. W/C and hand basin with integrated cupboard. Bath with Creda Spray spa shower attachment.",2530504,Terraced house,"[""Pickhurst Rise, West Wickham BR4""]",369,392,51.38164,0.002037,E09000006,Bromley
50075058,"[""21927""]","[""500 Northholt Road, South Harrow, Middlesex""]","[""HA2 8HA""]","Alexandra park is pleased to offer this two bed semi detached house in this popular residential location off The Parkway A312. The property comprises: Through lounge, kitchen, bathroom, gas central heating, upvc double glazing, rear garden &amp; off street parking. Available now fees to tenant ...","Alexandra park is pleased to offer this two bed semi detached house in this popular residential location off The Parkway A312. The property comprises: Through lounge, kitchen, bathroom, gas central heating, upvc double glazing, rear garden & off street parking. Available nowFees to tenant(All fees listed are inclusive of VAT)Contract Fee: £175.00 (Fees for drawing up the tenancy agreement)Referencing Fee including Credit Check Per Person: £75.00 (References include employer’s reference and previous landlord if applicable)Additional Fees that may applyGuarantor Fee: £100.00If a professional inventory is being undertaken the landlord may request the tenant to share the cost as this will benefit both the tenant and the landlordthrough loungekitchenbedroom 1bedroom 2bathroomrear gardenoff street parking",24903079,Semi-detached house,"[""Willow Tree Lane, Hayes, Middlesex UB4""]",346,346,51.526997,-0.395739,E09000017,Hillingdon
48409295,"[""21346""]","[""123 Stamford Street, London""]","[""SE1 9NN""]","Spacious 600sq ft one bedroom, fourth floor furnished apartment in one of the South Bank's most sought after developments Whitehouse Apartments. The apartment is furnished in a light contemporary style and comprises, entrance hall with (truncated)","Spacious 600sq ft one bedroom, fourth floor furnished apartment in one of the South Bank's most sought after developments Whitehouse Apartments. The apartment is furnished in a light contemporary style and comprises, entrance hall with storage cupboards, bathroom with shower cubicle, living room, bedroom with second shower room ( en-suite) and kitchen with integrated appliances. Tenants would have use of the on-site gym, swimming pool and steam room and have a 24hr concierge. A parking space may be available by separate negotiation.The apartment has easy access to Waterloo Station and there are many shops, bars, restaurants, cafes and theatres close by.",20874104,Flat,"[""Whitehouse Apartments, 9 Belvedere Road, London SE1""]",460,470,51.50548,-0.114849,E09000022,Lambeth
48181544,"[""41955""]","[""4 Stoke Newington High Street, London""]","[""N16 7PL""]","Good Size Three Bedroom Flat Located on Mare Street, E8. It has local transport links via Hackney Central (0.1 miles) Hackney Downs (0.2 miles) and London Fields (0.5 miles) which has direct access to Stratford Westfield and The City","Detailed DescriptionLocus Estates are delighted to be offering this three bedroom flat located on Mare Street, E8.Accommodation comprises fully fitted kitchen, three large doubles and three piece bathroom. The property benefits from laminated flooring throughout, gas central heating, electricity, double glazing windows, high ceilings, entry phone and on street/resident parking. It is in good condition and also well insulated.Aside from the stated, the property is only few steps away from the restaurants, shopping centre and supermarkets that Mare Street has to offer. It has local transport links via Hackney Central (0.1 miles) Hackney Downs (0.2 miles) and London Fields (0.5 miles) which has direct access to Stratford Westfield and The City.",27295909,Flat,"[""Mare Street, Hackney E8""]",369,369,51.548477,-0.055336,E09000012,Hackney
44706594,"[""39958""]","[""296 Old Brompton Road, London""]","[""SW5 9JF""]",Winner Best Letting Agent. The estas 2018. Set in the development on the site of the former Arsenal Football Club is Highbury Stadium Square - a unique and impressive development of luxury apartments. The apartment is South facing with private terrace and is a few moments' walk from Arsenal Tube Station (Piccadilly Line).,"Winner Best Letting Agent. The estas 2018. Set in the development on the site of the former Arsenal Football Club is Highbury Stadium Square - a unique and impressive development of luxury apartments. The apartment is South facing with private terrace and is a few moments' walk from Arsenal Tube Station (Piccadilly Line).Situated on the fifth floor, the apartment is accessed via a gated courtyard and private entrance doors. Once inside the apartment, there is an entrance hall with storage cupboards, one housing the washer dryer. The hallway leads onto a lovely and light open plan living room with attractive wood flooring, and a large door leads onto a private terraceover looking with fantastic soouth facing views across London. The kitchen is fully fitted including dishwasher, fridge freezer, microwave, oven and all are finished to an extremely high standard. The bedroom is South facing with large built in wardrobes. The apartment is available to view and rent from now and is ideal for a single person or a couple looking for a very high standard of accommodation and an extremely convenient location.",28869070,Flat,"[""South Stand, Highbury Stadium Square, Islington, London N5""]",415,415,51.556732,-0.102127,E09000019,Islington
45606859,"[""47796""]","[""331 Kenton Road, Kenton""]","[""HA3 0XS""]","Msk Properties are pleased to present this very spacious two bedroom property in Kenton. The property benefits from two double bedrooms, A large reception room, Fully fitted kitchen, Fitted family bathroom &amp; a balcony. The property is within walking distance to local amenities and transport links.  Available 25th November 2017","Msk Properties are pleased to present this very spacious two bedroom property in Kenton. The property benefits from two double bedrooms, A large reception room, Fully fitted kitchen, Fitted family bathroom & a balcony. The property is within walking distance to local amenities and transport links.Available 25th November 2017",10179233,Flat,"[""Kenton Road, Kenton HA3""]",300,300,51.586723,-0.29991,E09000005,Brent
48750917,"[""80855""]","[""2 Bennetts Castle Lane, Dagenham,""]","[""RM8 3XU""]",This 2 Bedroom Top Floor Flat (2nd Floor) is in a ready to move in to order and the Landlord is looking for Working Tenants. The Property has many fine features and is highly recommended for a viewing.,"Please call to make arrangements to view this 2 Bedroom Top Floor Flat which is in a ready to move in to order. The Property benefits from; double glazing, gas central heating, open plan lounge & kitchen, 2 good size bedrooms, modern bathroom suite, long term let, working tenants, DSS considered if part working and have A guarantor, close to becontree station, close to shops and bus routes, security entry-phone, allocated parking space and much more. Rent: £1,100.00 pcm, deposit: £1,100.00. £450.00 administration and reference fee.",19811528,Flat,"[""Neale Court, Berengers Place, Dagenham, Essex RM9""]",254,254,51.54079,0.116539,E09000002,Barking and Dagenham
50917890,"[""54584""]","[""39 Great Windmill Street""]","[""W1D 7LX""]","The property is in a perfect location only a 2 minutes walk to Highbury &amp; Islington station. This one bedroom flat benefits from a good sized bathroom, well sized living room and equipped kitc... ** Property Reference: 529318 **","Property Reference: 529318.The property is in a perfect location only a 2 minutes walk to Highbury & Islington station. This one bedroom flat benefits from a good sized bathroom, well sized living room and equipped kitchen. In addition a secure bike storage on the ground floor. The apartment is surrounded by all the local shops and restaurants. Available nowSummary & Exclusions:- Rent Amount: £1,450.00 per month (£334.62 per week)- Deposit / Bond: £2,000.00- 1 Bedrooms- 1 Bathrooms- Property comes furnished- Available to move in from 30 March, 2019- Minimum tenancy term is 6 months- Maximum number of tenants is 2- No DSS / Housing Benefit Applicants- Students welcome to enquire- No Pets, sorry- No Smokers- Family Friendly- Bills not included- No Parking Available- No Garden Access- EPC Rating: D If calling, please quote reference: 529318 Fees:You will not be charged any admin fees.Referencing for tenants only costs £20 each, if requested by the landlord for this property.** Contact today to book a viewing and have the landlord show you round! **Request Details form responded to 24/7, with phone bookings available 9am-9pm, 7 days a week.OpenRent endeavours to make all property particulars as accurate and reliable as possible, however if you require any further clarification or information please contact us. When applying for a tenancy using the Rent Now process, you will be required to pay one month's rent and any deposit before moving in. This will be paid to OpenRent and released to the landlord once you have moved in. With OpenRent there are no administration fees to pay, although you may need to pay £20 per tenant to cover the cost of referencing if required by the landlord.Property Reference five hundred and twenty-nine thousand three hundred and eighteen",15122449,Semi-detached house,"[""Arundel Square, London N7""]",335,335,51.54551,-0.109286,E09000019,Islington
46137275,"[""1069""]","[""57 Grosvenor Street, Mayfair""]","[""W1K 3JA""]",A beautifully presented two double bedroom apartment situated on the first floor of this well maintained red brick period building in the heart of Mayfair.,"A beautifully presented two double bedroom apartment situated on the first floor of this well maintained red brick period building in the heart of Mayfair. The property comprises master bedroom with en suite shower room; further double bedroom, bathroom, separate fully fitted kitchen, light and ample reception room and dining room, both leading onto west facing balconies. The property is offered furnished and benefits from plenty of storage space, and lift. Duke Street Mansions is ideally located to numerous shopping and dining amenities of Oxford Street and Bond Street as well as convenient transport links.",27196617,Flat,"[""Duke Street Mansions, Duke Street, Mayfair W1K""]",3000,3000,51.51368,-0.151333,E09000033,Westminster
46654538,"[""30268""]","[""Waterfront Studios, 1 Dock Road""]","[""E16 1AG""]","Woolwhich SE18. Immaculately presented 4 bedroom house on a quiet residential street. The property comes with its own private garden, driveway and is located within walking distance from parks and Woowhich or Plumstead common. Perfect for families or sharers.","Set on a quiet, pretty residential area with lots of parks within minutes walk away, the property benefits from 4 very good sized double bedrooms with built in wardrobes, fully furnished to a high standard, reception room and separate dining room leading to access for balcony, separated fully fitted kitchen including a dishwasher, modern bathroom and additional WC. In addition the property also benefits from its own private garden and the large modern balcony.- Woolwhich SE18- Immaculately presented 4 bedroom house on a quiet residential street- 4 very good sized double bedrooms with built in wardrobes- Quiet, pretty residential area with lots of parks- Fully furnished to a high standard- Separated fully fitted kitchen including a dishwasher- Separate dining room- Modern and very nice balcony accessed through dining room- Reception room- Modern bathroom and additional WC- Private garden- Driveway and on street parking- Located next to parks and Woolwhich and Plumstead common- Perfect for families or professional sharers!",21125394,Terraced house,"[""Ripon Road, London SE18"",""Ripon Road, Woolwich SE18""]",392,392,51.478554,0.068392,E09000011,Greenwich
