listing_id,branch_id,agent_address,agent_postcode,short_description,property_id,property_type,address,price_min,price_max,latitude,longitude,lad20cd,lad20nm,tagged_description
45557963,"[""56666""]","[""247 Croydon Road, Beckenham""]","[""BR3 3PS""]","  Available mid December we are delighted to offer this neutrally decorated 3 bedroom terraced house, with a large garden to the rear and off street parking for up to 3 cars. The house is within easy reach of good local schools including nearby Pickhurst Academy Primary school, Langley Park Boys and Girls Senior schools and Hayes Senior school. Shopping centres are available at West Wickham, Hayes, Beckenham or for larger facilities Bromley offers the Intu Bromley shopping mall and popular Churchill theatre. Train stations can be found at Hayes, West Wickham or Bromley South and there are bus routes close by to many destinations and easy access to the M25 motorway. Recreational time can be spent at Pickhurst Recreation Ground, Norman Park, South Hill Woods, Hayes Common or there is a swimming pool and gym at West Wickham.  ",2530504,Terraced house,"[""Pickhurst Rise, West Wickham BR4""]",369,392,51.38164,0.002037,E09000006,Bromley,"[('Available', 'O'), ('mid', 'O'), ('December', 'O'), ('we', 'O'), ('are', 'O'), ('delighted', 'O'), ('to', 'O'), ('offer', 'O'), ('this', 'O'), ('neutrally', 'O'), ('decorated', 'O'), ('3', 'O'), ('bedroom', 'O'), ('terraced', 'O'), ('house,', 'O'), ('with', 'O'), ('a', 'O'), ('large', 'O'), ('garden', 'O'), ('to', 'O'), ('the', 'O'), ('rear', 'O'), ('and', 'O'), ('off', 'O'), ('street', 'O'), ('parking', 'O'), ('for', 'O'), ('up', 'O'), ('to', 'O'), ('3', 'O'), ('cars.', 'O'), ('The', 'O'), ('house', 'O'), ('is', 'O'), ('within', 'O'), ('easy', 'O'), ('reach', 'O'), ('of', 'O'), ('good', 'O'), ('local', 'O'), ('schools', 'O'), ('including', 'O'), ('nearby', 'O'), ('Pickhurst', 'O'), ('Academy', 'O'), ('Primary', 'O'), ('school,', 'O'), ('Langley', 'B-LOC'), ('Park', 'O'), ('Boys', 'O'), ('and', 'O'), ('Girls', 'O'), ('Senior', 'O'), ('schools', 'O'), ('and', 'O'), ('Hayes', 'B-LOC'), ('Senior', 'O'), ('school.', 'O'), ('Shopping', 'O'), ('centres', 'O'), ('are', 'O'), ('available', 'O'), ('at', 'O'), ('West', 'B-LOC'), ('Wickham,', 'I-LOC'), ('Hayes,', 'B-LOC'), ('Beckenham', 'B-LOC'), ('or', 'O'), ('for', 'O'), ('larger', 'O'), ('facilities', 'O'), ('Bromley', 'B-LOC'), ('offers', 'O'), ('the', 'O'), ('Intu', 'O'), ('Bromley', 'B-LOC'), ('shopping', 'O'), ('mall', 'O'), ('and', 'O'), ('popular', 'O'), ('Churchill', 'B-LOC'), ('theatre.', 'O'), ('Train', 'O'), ('stations', 'O'), ('can', 'O'), ('be', 'O'), ('found', 'O'), ('at', 'O'), ('Hayes,', 'B-LOC'), ('West', 'I-LOC'), ('Wickham', 'I-LOC'), ('or', 'O'), ('Bromley', 'B-LOC'), ('South', 'I-LOC'), ('and', 'O'), ('there', 'O'), ('are', 'O'), ('bus', 'O'), ('routes', 'O'), ('close', 'O'), ('by', 'O'), ('to', 'O'), ('many', 'O'), ('destinations', 'O'), ('and', 'O'), ('easy', 'O'), ('access', 'O'), ('to', 'O'), ('the', 'O'), ('M25', 'O'), ('motorway.', 'O'), ('Recreational', 'O'), ('time', 'O'), ('can', 'O'), ('be', 'O'), ('spent', 'O'), ('at', 'O'), ('Pickhurst', 'O'), ('Recreation', 'O'), ('Ground,', 'O'), ('Norman', 'B-LOC'), ('Park,', 'I-LOC'), ('South', 'B-LOC'), ('Hill', 'I-LOC'), ('Woods,', 'O'), ('Hayes', 'B-LOC'), ('Common', 'O'), ('or', 'O'), ('there', 'O'), ('is', 'O'), ('a', 'O'), ('swimming', 'O'), ('pool', 'O'), ('and', 'O'), ('gym', 'O'), ('at', 'O'), ('West', 'B-LOC'), ('Wickham.', 'I-LOC')]"
50075058,"[""21927""]","[""500 Northholt Road, South Harrow, Middlesex""]","[""HA2 8HA""]","Alexandra park is pleased to offer this two bed semi detached house in this popular residential location off The Parkway A312. The property comprises: Through lounge, kitchen, bathroom, gas central heating, upvc double glazing, rear garden &amp; off street parking. Available now fees to tenant ...",24903079,Semi-detached house,"[""Willow Tree Lane, Hayes, Middlesex UB4""]",346,346,51.526997,-0.395739,E09000017,Hillingdon,"[('Alexandra', 'B-LOC'), ('park', 'O'), ('is', 'O'), ('pleased', 'O'), ('to', 'O'), ('offer', 'O'), ('this', 'O'), ('two', 'O'), ('bed', 'O'), ('semi', 'O'), ('detached', 'O'), ('house', 'O'), ('in', 'O'), ('this', 'O'), ('popular', 'O'), ('residential', 'O'), ('location', 'O'), ('off', 'O'), ('The', 'O'), ('Parkway', 'O'), ('A312.', 'O'), ('The', 'O'), ('property', 'O'), ('comprises:', 'O'), ('Through', 'O'), ('lounge,', 'O'), ('kitchen,', 'O'), ('bathroom,', 'O'), ('gas', 'O'), ('central', 'O'), ('heating,', 'O'), ('upvc', 'O'), ('double', 'O'), ('glazing,', 'O'), ('rear', 'O'), ('garden', 'O'),  ('off', 'O'), ('street', 'O'), ('parking.', 'O'), ('Available', 'O'), ('now', 'O'), ('fees', 'O'), ('to', 'O'), ('tenant', 'O'), ('...', 'O')]"
48409295,"[""21346""]","[""123 Stamford Street, London""]","[""SE1 9NN""]","Spacious 600sq ft one bedroom, fourth floor furnished apartment in one of the South Bank's most sought after developments Whitehouse Apartments. The apartment is furnished in a light contemporary style and comprises, entrance hall with (truncated)",20874104,Flat,"[""Whitehouse Apartments, 9 Belvedere Road, London SE1""]",460,470,51.50548,-0.114849,E09000022,Lambeth,"[('Spacious', 'O'), ('600sq', 'O'), ('ft', 'O'), ('one', 'O'), ('bedroom,', 'O'), ('fourth', 'O'), ('floor', 'O'), ('furnished', 'O'), ('apartment', 'O'), ('in', 'O'), ('one', 'O'), ('of', 'O'), ('the', 'O'), ('South', 'O'), (""Bank's"", 'O'), ('most', 'O'), ('sought', 'O'), ('after', 'O'), ('developments', 'O'), ('Whitehouse', 'B-LOC'), ('Apartments.', 'O'), ('The', 'O'), ('apartment', 'O'), ('is', 'O'), ('furnished', 'O'), ('in', 'O'), ('a', 'O'), ('light', 'O'), ('contemporary', 'O'), ('style', 'O'), ('and', 'O'), ('comprises,', 'O'), ('entrance', 'O'), ('hall', 'O'), ('with', 'O'), ('(truncated)', 'O')]"
48181544,"[""41955""]","[""4 Stoke Newington High Street, London""]","[""N16 7PL""]","Good Size Three Bedroom Flat Located on Mare Street, E8. It has local transport links via Hackney Central (0.1 miles) Hackney Downs (0.2 miles) and London Fields (0.5 miles) which has direct access to Stratford Westfield and The City",27295909,Flat,"[""Mare Street, Hackney E8""]",369,369,51.548477,-0.055336,E09000012,Hackney,"[('Good', 'O'), ('Size', 'O'), ('Three', 'O'), ('Bedroom', 'O'), ('Flat', 'O'), ('Located', 'O'), ('on', 'O'), ('Mare', 'B-LOC'), ('Street,', 'I-LOC'), ('E8.', 'O'), ('It', 'O'), ('has', 'O'), ('local', 'O'), ('transport', 'O'), ('links', 'O'), ('via', 'O'), ('Hackney', 'B-LOC'), ('Central', 'I-LOC'), ('(0.1', 'O'), ('miles)', 'O'), ('Hackney', 'B-LOC'), ('Downs', 'O'), ('(0.2', 'O'), ('miles)', 'O'), ('and', 'O'), ('London', 'O'), ('Fields', 'O'), ('(0.5', 'O'), ('miles)', 'O'), ('which', 'O'), ('has', 'O'), ('direct', 'O'), ('access', 'O'), ('to', 'O'), ('Stratford', 'B-LOC'), ('Westfield', 'I-LOC'), ('and', 'O'), ('The', 'O'), ('City', 'O')]"
44706594,"[""39958""]","[""296 Old Brompton Road, London""]","[""SW5 9JF""]",Winner Best Letting Agent. The estas 2018. Set in the development on the site of the former Arsenal Football Club is Highbury Stadium Square - a unique and impressive development of luxury apartments. The apartment is South facing with private terrace and is a few moments' walk from Arsenal Tube Station (Piccadilly Line).,28869070,Flat,"[""South Stand, Highbury Stadium Square, Islington, London N5""]",415,415,51.556732,-0.102127,E09000019,Islington,"[('Winner', 'O'), ('Best', 'O'), ('Letting', 'O'), ('Agent.', 'O'), ('The', 'O'), ('estas', 'O'), ('2018.', 'O'), ('Set', 'O'), ('in', 'O'), ('the', 'O'), ('development', 'O'), ('on', 'O'), ('the', 'O'), ('site', 'O'), ('of', 'O'), ('the', 'O'), ('former', 'O'), ('Arsenal', 'O'), ('Football', 'O'), ('Club', 'O'), ('is', 'O'), ('Highbury', 'B-LOC'), ('Stadium', 'O'), ('Square', 'O'), ('-', 'O'), ('a', 'O'), ('unique', 'O'), ('and', 'O'), ('impressive', 'O'), ('development', 'O'), ('of', 'O'), ('luxury', 'O'), ('apartments.', 'O'), ('The', 'O'), ('apartment', 'O'), ('is', 'O'), ('South', 'O'), ('facing', 'O'), ('with', 'O'), ('private', 'O'), ('terrace', 'O'), ('and', 'O'), ('is', 'O'), ('a', 'O'), ('few', 'O'), (""moments'"", 'O'), ('walk', 'O'), ('from', 'O'), ('Arsenal', 'O'), ('Tube', 'O'), ('Station', 'O'), ('(Piccadilly', 'O'), ('Line).', 'O')]"
45606859,"[""47796""]","[""331 Kenton Road, Kenton""]","[""HA3 0XS""]","Msk Properties are pleased to present this very spacious two bedroom property in Kenton. The property benefits from two double bedrooms, A large reception room, Fully fitted kitchen, Fitted family bathroom &amp; a balcony. The property is within walking distance to local amenities and transport links.  Available 25th November 2017",10179233,Flat,"[""Kenton Road, Kenton HA3""]",300,300,51.586723,-0.29991,E09000005,Brent,"[('Msk', 'O'), ('Properties', 'O'), ('are', 'O'), ('pleased', 'O'), ('to', 'O'), ('present', 'O'), ('this', 'O'), ('very', 'O'), ('spacious', 'O'), ('two', 'O'), ('bedroom', 'O'), ('property', 'O'), ('in', 'O'), ('Kenton.', 'B-LOC'), ('The', 'O'), ('property', 'O'), ('benefits', 'O'), ('from', 'O'), ('two', 'O'), ('double', 'O'), ('bedrooms,', 'O'), ('A', 'O'), ('large', 'O'), ('reception', 'O'), ('room,', 'O'), ('Fully', 'O'), ('fitted', 'O'), ('kitchen,', 'O'), ('Fitted', 'O'), ('family', 'O'), ('bathroom', 'O'),  ('a', 'O'), ('balcony.', 'O'), ('The', 'O'), ('property', 'O'), ('is', 'O'), ('within', 'O'), ('walking', 'O'), ('distance', 'O'), ('to', 'O'), ('local', 'O'), ('amenities', 'O'), ('and', 'O'), ('transport', 'O'), ('links.', 'O'), ('Available', 'O'), ('25th', 'O'), ('November', 'O'), ('2017', 'O')]"
48750917,"[""80855""]","[""2 Bennetts Castle Lane, Dagenham,""]","[""RM8 3XU""]",This 2 Bedroom Top Floor Flat (2nd Floor) is in a ready to move in to order and the Landlord is looking for Working Tenants. The Property has many fine features and is highly recommended for a viewing.,19811528,Flat,"[""Neale Court, Berengers Place, Dagenham, Essex RM9""]",254,254,51.54079,0.116539,E09000002,Barking and Dagenham,"[('This', 'O'), ('2', 'O'), ('Bedroom', 'O'), ('Top', 'O'), ('Floor', 'O'), ('Flat', 'O'), ('(2nd', 'O'), ('Floor)', 'O'), ('is', 'O'), ('in', 'O'), ('a', 'O'), ('ready', 'O'), ('to', 'O'), ('move', 'O'), ('in', 'O'), ('to', 'O'), ('order', 'O'), ('and', 'O'), ('the', 'O'), ('Landlord', 'O'), ('is', 'O'), ('looking', 'O'), ('for', 'O'), ('Working', 'O'), ('Tenants.', 'O'), ('The', 'O'), ('Property', 'O'), ('has', 'O'), ('many', 'O'), ('fine', 'O'), ('features', 'O'), ('and', 'O'), ('is', 'O'), ('highly', 'O'), ('recommended', 'O'), ('for', 'O'), ('a', 'O'), ('viewing.', 'O')]"
50917890,"[""54584""]","[""39 Great Windmill Street""]","[""W1D 7LX""]","The property is in a perfect location only a 2 minutes walk to Highbury &amp; Islington station. This one bedroom flat benefits from a good sized bathroom, well sized living room and equipped kitc... ** Property Reference: 529318 **",15122449,Semi-detached house,"[""Arundel Square, London N7""]",335,335,51.54551,-0.109286,E09000019,Islington,"[('The', 'O'), ('property', 'O'), ('is', 'O'), ('in', 'O'), ('a', 'O'), ('perfect', 'O'), ('location', 'O'), ('only', 'O'), ('a', 'O'), ('2', 'O'), ('minutes', 'O'), ('walk', 'O'), ('to', 'O'), ('Highbury', 'B-LOC'),  ('Islington', 'B-LOC'), ('station.', 'O'), ('This', 'O'), ('one', 'O'), ('bedroom', 'O'), ('flat', 'O'), ('benefits', 'O'), ('from', 'O'), ('a', 'O'), ('good', 'O'), ('sized', 'O'), ('bathroom,', 'O'), ('well', 'O'), ('sized', 'O'), ('living', 'O'), ('room', 'O'), ('and', 'O'), ('equipped', 'O'), ('kitc...', 'O'), ('**', 'O'), ('Property', 'O'), ('Reference:', 'O'), ('529318', 'O'), ('**', 'O')]"
46137275,"[""1069""]","[""57 Grosvenor Street, Mayfair""]","[""W1K 3JA""]",A beautifully presented two double bedroom apartment situated on the first floor of this well maintained red brick period building in the heart of Mayfair.,27196617,Flat,"[""Duke Street Mansions, Duke Street, Mayfair W1K""]",3000,3000,51.51368,-0.151333,E09000033,Westminster,"[('A', 'O'), ('beautifully', 'O'), ('presented', 'O'), ('two', 'O'), ('double', 'O'), ('bedroom', 'O'), ('apartment', 'O'), ('situated', 'O'), ('on', 'O'), ('the', 'O'), ('first', 'O'), ('floor', 'O'), ('of', 'O'), ('this', 'O'), ('well', 'O'), ('maintained', 'O'), ('red', 'O'), ('brick', 'O'), ('period', 'O'), ('building', 'O'), ('in', 'O'), ('the', 'O'), ('heart', 'O'), ('of', 'O'), ('Mayfair.', 'B-LOC')]"
46654538,"[""30268""]","[""Waterfront Studios, 1 Dock Road""]","[""E16 1AG""]","Woolwhich SE18. Immaculately presented 4 bedroom house on a quiet residential street. The property comes with its own private garden, driveway and is located within walking distance from parks and Woowhich or Plumstead common. Perfect for families or sharers.",21125394,Terraced house,"[""Ripon Road, London SE18"",""Ripon Road, Woolwich SE18""]",392,392,51.478554,0.068392,E09000011,Greenwich,"[('Woolwhich', 'B-LOC'), ('SE18.', 'O'), ('Immaculately', 'O'), ('presented', 'O'), ('4', 'O'), ('bedroom', 'O'), ('house', 'O'), ('on', 'O'), ('a', 'O'), ('quiet', 'O'), ('residential', 'O'), ('street.', 'O'), ('The', 'O'), ('property', 'O'), ('comes', 'O'), ('with', 'O'), ('its', 'O'), ('own', 'O'), ('private', 'O'), ('garden,', 'O'), ('driveway', 'O'), ('and', 'O'), ('is', 'O'), ('located', 'O'), ('within', 'O'), ('walking', 'O'), ('distance', 'O'), ('from', 'O'), ('parks', 'O'), ('and', 'O'), ('Woowhich', 'B-LOC'), ('or', 'O'), ('Plumstead', 'B-LOC'), ('common.', 'O'), ('Perfect', 'O'), ('for', 'O'), ('families', 'O'), ('or', 'O'), ('sharers.', 'O')]"
